City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date
Poum,-20.2333,164.0167,78.75,82,86,14.79,NC,1636773886
Touros,-5.1989,-35.4608,79.7,80,98,12.84,BR,1636773888
Ushuaia,-54.8,-68.3,44.26,87,20,8.05,AR,1636773888
Laguna,38.421,-121.4238,64.24,96,90,3.0,US,1636773889
Saint-Philippe,-21.3585,55.7679,79.48,76,50,9.44,RE,1636773889
Mataura,-46.1927,168.8643,49.26,99,100,7.14,NZ,1636773890
Brae,60.3964,-1.353,48.11,96,98,13.47,GB,1636773890
Surgut,61.25,73.4167,23.18,100,90,8.95,RU,1636773719
Mossamedes,-15.1961,12.1522,68.25,88,19,1.81,AO,1636773891
Kortkeros,61.8106,51.5806,28.4,93,100,6.13,RU,1636773892
Rikitea,-23.1203,-134.9692,74.16,62,10,4.99,PF,1636773791
Punta Arenas,-53.15,-70.9167,44.71,76,0,5.75,CL,1636773835
Atar,20.5169,-13.0499,77.79,34,65,1.88,MR,1636773892
Grindavik,63.8424,-22.4338,41.47,70,75,18.41,IS,1636773893
Castro,-24.7911,-50.0119,52.66,86,91,11.97,BR,1636773893
Vaini,-21.2,-175.2,82.56,78,40,6.91,TO,1636773894
Loandjili,-4.7561,11.8578,77.65,88,100,6.46,CG,1636773895
Bethel,41.3712,-73.414,52.48,92,90,0.0,US,1636773804
Tura,25.5198,90.2201,71.76,64,30,0.67,IN,1636773895
Mamakan,57.8161,114.0028,22.46,88,99,1.92,RU,1636773896
Qaanaaq,77.484,-69.3632,-7.42,59,0,8.81,GL,1636773896
Mount Isa,-20.7333,139.5,74.97,23,1,12.66,AU,1636773897
Meulaboh,4.1363,96.1285,81.63,70,61,2.59,ID,1636773897
Albany,42.6001,-73.9662,43.74,90,1,3.22,US,1636773651
Ambon City,-3.6954,128.1814,87.94,70,40,3.44,ID,1636773898
Klaksvík,62.2266,-6.589,47.32,93,100,21.45,FO,1636773898
Marawi,7.9986,124.2928,76.64,72,85,3.49,PH,1636773899
Fallon,39.4735,-118.7774,52.43,71,40,9.22,US,1636773899
Matli,25.0431,68.6557,75.45,19,0,6.64,PK,1636773899
Avarua,-21.2078,-159.775,78.85,83,90,10.36,CK,1636773900
Znamenka,52.4167,41.4311,37.99,74,100,16.24,RU,1636773900
Bluff,-46.6,168.3333,49.33,91,100,19.66,NZ,1636773901
Busselton,-33.65,115.3333,70.05,41,14,10.6,AU,1636773901
East London,-33.0153,27.9116,62.02,88,78,3.33,ZA,1636773902
Tupik,54.4253,119.9327,23.58,64,11,1.9,RU,1636773902
Coyhaique,-45.5752,-72.0662,51.75,93,75,4.61,CL,1636773902
Lebu,-37.6167,-73.65,51.17,83,55,9.44,CL,1636773903
Morehead,37.2711,-87.1764,40.86,77,90,1.99,US,1636773903
Sisimiut,66.9395,-53.6735,13.73,86,96,7.34,GL,1636773904
Constitución,-35.3333,-72.4167,50.7,93,48,7.85,CL,1636773904
Carnarvon,-24.8667,113.6333,77.07,53,6,18.41,AU,1636773905
Puerto Ayora,-0.7393,-90.3518,68.22,88,25,7.4,EC,1636773905
Kaitangata,-46.2817,169.8464,49.46,97,100,12.1,NZ,1636773906
Hobart,-42.8794,147.3294,55.22,76,75,8.05,AU,1636773618
Lata,40.1629,-8.3327,41.41,76,7,3.78,PT,1636773907
Kieta,-6.2167,155.6333,83.57,77,87,3.89,PG,1636773907
Port Moresby,-9.4431,147.1797,90.82,62,40,17.27,PG,1636773908
Taoudenni,22.6783,-3.9836,69.89,14,19,5.53,ML,1636773909
Polgár,47.8667,21.1167,30.34,66,97,2.01,HU,1636773909
Narsaq,60.9167,-46.05,21.42,66,100,7.14,GL,1636773910
Longyearbyen,78.2186,15.6401,3.04,78,20,11.5,SJ,1636773726
Oranjemund,-28.55,16.4333,60.46,90,100,12.01,NA,1636773911
George Town,5.4112,100.3354,84.13,86,40,2.3,MY,1636773816
Kapaa,22.0752,-159.319,80.58,77,1,1.99,US,1636773651
Barrow,71.2906,-156.7887,17.62,73,90,3.44,US,1636773912
